Code,City,State
0AK,Pilot Station,AK
16A,Nunapitchuk,AK
1G4,Peach Springs,AZ
2A3,Larsen Bay,AK
2A9,Kotlik,AK
3A5,Marshall,AK
3T7,Middle Bass,OH
3W2,Put - in - Bay,OH
6R7,Old Harbor,AK
74S,Anacortes,WA
A61,Tuntutuliak,AK
A85,Kwigillingok,AK
ABE,Allentown,PA
ABI,Abilene,TX
ABQ,Albuquerque,NM
ABR,Aberdeen,SD
ABY,Albany,GA
ACB,Bellaire,MI
ACK,Nantucket,MA
ACT,Waco,TX
ACV,Arcata/Eureka,CA
ACY,Egg Harbor Township,NJ
ADK,Adak Island,AK
ADQ,Kodiak,AK
AEX,Alexandria,LA
AFM,Ambler,AK
AGC,Pittsburgh,PA
AGN,Angoon,AK
AGS,Augusta,GA
AHN,Athens,GA
AIA,Alliance,NE
AID,Anderson,IN
AIY,Atlantic City,NJ
AIZ,Kaiser Lake Ozark,MO
AKN,King Salmon,AK
AKP,Anaktuvuk Pass,AK
AKW,Klawock,AK
ALB,Albany,NY
ALM,Alamogordo,NM
ALN,Alton/St Louis,IL
ALO,Waterloo,IA
ALS,Alamosa,CO
ALW,Walla Walla,WA
AMA,Amarillo,TX
ANB,Anniston,AL
ANC,Anchorage,AK
AND,Anderson,SC
ANI,Aniak,AK
AOO,Altoona,PA
APF,Naples,FL
APN,Alpena,MI
AQH,Quinhagak,AK
AQT,Nuiqsut,AK
ART,Watertown,NY
ASE,Aspen,CO
ASN,Talladega,AL
AST,Astoria,OR
ATK,Atqasuk,AK
ATL,Atlanta,GA
ATW,Appleton,WI
ATY,Watertown,SD
AUG,Augusta,ME
AUK,Alakanuk,AK
AUS,Austin,TX
AVL,Asheville,NC
AVP,Avoca,PA
AWI,Wainwright,AK
AXN,Alexandria,MN
AZO,Kalamazoo,MI
BAF,Westfield/Springfield,MA
BAK,Columbus,IN
BCE,Bryce Canyon,UT
BDE,Baudette,MN
BDL,Windsor Locks,CT
BDR,Bridgeport,CT
BED,Bedford,MA
BEH,Benton Harbor,MI
BET,Bethel,AK
BFD,Bradford,PA
BFF,Scottsbluff,NE
BFI,Seattle,WA
BFL,Bakersfield,CA
BGM,Binghamton,NY
BGR,Bangor,ME
BHB,Bar Harbor,ME
BHM,Birmingham,AL
BID,Block Island,RI
BIG,Delta Junction Ft Greely,AK
BIL,Billings,MT
BIS,Bismarck,ND
BJI,Bemidji,MN
BKL,Cleveland,OH
BKW,Beckley,WV
BKX,Brookings,SD
BLI,Bellingham,WA
BLM,Belmar/Farmingdale,NJ
BLV,Belleville,IL
BMG,Bloomington,IN
BMI,Bloomington,IL
BNA,Nashville,TN
BOI,Boise,ID
BOS,Boston,MA
BPK,Mountain Home,AR
BPT,Beaumont / Port Arthur,TX
BQK,Brunswick,GA
BQN,Aguadilla,PR
BRD,Brainerd,MN
BRL,Burlington,IA
BRO,Brownsville,TX
BRW,Barrow,AK
BTI,Kaktovik,AK
BTL,Battle Creek,MI
BTM,Butte,MT
BTR,Baton Rouge,LA
BTV,South Burlington,VT
BUF,Buffalo,NY
BUR,Burbank,CA
BVK,Buckland,AK
BWG,Bowling Green,KY
BWI,BWI Airport,MD
BZN,Bozeman,MT
CAE,Columbia,SC
CAK,North Canton,OH
CCR,Concord,CA
CDB,Cold Bay,AK
CDC,Cedar City,UT
CDV,Cordova,AK
CDW,Caldwell,NJ
CEC,Crescent City,CA
CEF,Springfield/Chicopee,MA
CEZ,Cortez,CO
CFK,Chefornak,AK
CGA,Craig,AK
CGF,Cleveland,OH
CGI,Cape Girardeau,MO
CGX,Chicago,IL
CHA,Chattanooga,TN
CHO,Charlottesville,VA
CHS,Charleston,SC
CIC,Chico,CA
CID,Cedar Rapids,IA
CIU,Sault Ste Marie,MI
CKB,Clarksburg,WV
CLE,Cleveland,OH
CLL,College Station,TX
CLM,Port Angeles,WA
CLT,Charlotte,NC
CMH,Columbus,OH
CMI,Champaign,IL
CMX,Hancock,MI
CNM,Carlsbad,NM
CNY,Moab,UT
COD,Cody,WY
COE,Coeur D'alene,ID
COS,Colorado Springs,CO
COU,Columbia,MO
CPR,Casper,WY
CPX,Isla De Culebra,PR
CRP,Corpus Christi,TX
CRQ,Carlsbad,CA
CRW,Charleston,WV
CSG,Columbus,GA
CVG,Cincinnati,OH
CVO,Corvallis,OR
CVX,Charlevoix,MI
CWA,Mosinee,WI
CWI,Clinton,IA
CYS,Cheyenne,WY
D76,Noorvik,AK
DAB,Daytona Beach,FL
DAL,Dallas,TX
DAN,Danville,VA
DAY,Dayton,OH
DBQ,Dubuque,IA
DCA,Washington,DC
DDC,Dodge City,KS
DDH,Bennington,VT
DEC,Decatur,IL
DEN,Denver,CO
DET,Detroit,MI
DFW,Dallas,TX
DHN,Dothan,AL
DIK,Dickinson,ND
DLG,Dillingham,AK
DLH,Duluth,MN
DNV,Danville,IL
DRO,Durango,CO
DRT,Del Rio,TX
DSM,Des Moines,IA
DTW,Detroit,MI
DUJ,Du Bois,PA
DUT,Unalaska,AK
DUY,Kongiganak,AK
DVL,Devils Lake,ND
DVT,Phoenix,AZ
DXR,Danbury,CT
EAR,Kearney,NE
EAT,Wenatchee,WA
EAU,Eau Claire,WI
EEK,Eek,AK
EEN,Keene,NH
EFD,Houston,TX
EFK,Newport,VT
EGE,Eagle,CO
EKM,Elkhart,IN
EKO,Elko,NV
ELI,Elim,AK
ELM,Elmira / Corning,NY
ELO,Ely,MN
ELP,El Paso,TX
ELY,Ely,NV
ENA,Kenai,AK
ENM,Emmonak,AK
ENW,Kenosha,WI
ERI,Erie,PA
ESC,Escanaba,MI
ESF,Alexandria,LA
EUG,Eugene,OR
EVV,Evansville,IN
EWB,New Bedford,MA
EWN,New Bern,NC
EWR,Newark,NJ
EWU,Newtok,AK
EYW,Key West,FL
FAI,Fairbanks,AK
FAQ,Fitiuta,AS
FAR,Fargo,ND
FAT,Fresno,CA
FAY,Fayetteville,NC
FHR,Friday Harbor,WA
FHU,Fort Huachuca / Sierra Vista,AZ
FKL,Franklin,PA
FLG,Flagstaff,AZ
FLL,Fort Lauderdale,FL
FLO,Florence,SC
FMN,Farmington,NM
FNL,Fort Collins / Loveland,CO
FNT,Flint,MI
FOD,Fort Dodge,IA
FOE,Topeka,KS
FRG,Farmingdale,NY
FRM,Fairmont,MN
FSD,Sioux Falls,SD
FSM,Fort Smith,AR
FTW,Fort Worth,TX
FWA,Fort Wayne,IN
FYU,Fort Yukon,AK
FYV,Fayetteville,AR
GAL,Galena,AK
GAM,Gambell,AK
GBD,Great Bend,KS
GBH,Galbraith Lake,AK
GCC,Gillette,WY
GCK,Garden City,KS
GCN,Grand Canyon,AZ
GED,Georgetown,DE
GEG,Spokane,WA
GFK,Grand Forks,ND
GFL,Glens Falls,NY
GGG,Longview,TX
GGV,Kwigillingok,AK
GGW,Glasgow,MT
GJT,Grand Junction,CO
GKN,Gulkana,AK
GLD,Goodland,KS
GLH,Greenville,MS
GLR,Gaylord,MI
GLS,Galveston,TX
GNV,Gainesville,FL
GON,Groton (New London),CT
GPI,Kalispell,MT
GPT,Gulfport,MS
GPZ,Grand Rapids,MN
GRB,Green Bay,WI
GRI,Grand Island,NE
GRK,Fort Hood / Killeen,TX
GRO,Rota Island,CQ
GRR,Grand Rapids,MI
GSN,Saipan Island,CQ
GSO,Greensboro,NC
GSP,Greenville,SC
GST,Gustavus,AK
GTF,Great Falls,MT
GTR,Columbus,MS
GUC,Gunnison,CO
GUM,Agana,GU
GUP,Gallup,NM
GYH,Greenville,SC
GYR,Goodyear,AZ
GYY,Gary,IN
HDN,Hayden,CO
HFD,Hartford,CT
HGR,Hagerstown,MD
HIB,Hibbing,MN
HII,Lake Havasu City,AZ
HKS,Jackson,MS
HKY,Hickory,NC
HLA,Huslia,AK
HLN,Helena,MT
HND,Las Vegas,NV
HNH,Hoonah,AK
HNL,Honolulu,HI
HNM,Hana,HI
HNS,Haines,AK
HOB,Hobbs,NM
HOM,Homer,AK
HON,Huron,SD
HOT,Hot Springs,AR
HOU,Houston,TX
HPB,Hooper Bay,AK
HPN,White Plains,NY
HRL,Harlingen,TX
HRO,Harrison,AR
HSL,Huslia,AK
HSV,Huntsville,AL
HTS,Huntington,WV
HUF,Terre Haute,IN
HUT,Hutchinson,KS
HVN,New Haven,CT
HXD,Hilton Head Island,SC
HYA,Hyannis,MA
HYL,Hollis,AK
HYS,Hays,KS
IAD,Washington,DC
IAH,Houston,TX
IAN,Kiana,AK
ICT,Wichita,KS
IDA,Idaho Falls,ID
IFP,Bullhead City,AZ
IGM,Kingman,AZ
IIK,Kipnuk,AK
ILE,Killeen,TX
ILG,Wilmington,DE
ILI,Iliamna,AK
ILL,Willmar,MN
ILM,Wilmington,NC
IMT,Iron Mountain / Kingsford,MI
IND,Indianapolis,IN
INL,International Falls,MN
INT,Winston Salem,NC
IPL,Imperial,CA
IPT,Williamsport,PA
IRK,Kirksville,MO
ISN,Williston,ND
ISO,Kinston,NC
ISP,Islip,NY
ITH,Ithaca,NY
ITO,Hilo,HI
IWA,Mesa,AZ
IWD,Ironwood,MI
IXD,Olathe,KS
IYK,Inyokern,CA
JAC,Jackson,WY
JAN,Jackson,MS
JAX,Jacksonville,FL
JBR,Jonesboro,AR
JEF,Jefferson City,MO
JFK,New York,NY
JHW,Jamestown,NY
JLN,Joplin,MO
JMS,Jamestown,ND
JNU,Juneau,AK
JRB,New York,NY
JST,Johnstown,PA
JVL,Janesville,WI
JXN,Jackson,MI
KAE,Kake,AK
KAL,Kaltag,AK
KDK,Kodiak,AK
KEB,English Bay,AK
KKA,Koyuk,AK
KLG,Kalskag,AK
KOA,Keahole,HI
KSM,St Mary's,AK
KTB,Thorne Bay,AK
KTN,Ketchikan,AK
KVC,King Cove,AK
KVL,Kivalina,AK
KWT,Kwethluk,AK
LAA,Lamar,CO
LAF,Lafayette,IN
LAL,Lakeland,FL
LAN,Lansing,MI
LAR,Laramie,WY
LAS,Las Vegas,NV
LAW,Lawton,OK
LAX,Los Angeles,CA
LBB,Lubbock,TX
LBE,Latrobe,PA
LBF,North Platte,NE
LBL,Liberal,KS
LBX,Angleton/Lake Jackson,TX
LCH,Lake Charles,LA
LCK,Columbus,OH
LEB,Lebanon,NH
LEX,Lexington,KY
LFT,Lafayette,LA
LGA,New York,NY
LGB,Long Beach,CA
LHD,Anchorage,AK
LIH,Lihue,HI
LIT,Little Rock,AR
LMT,Klamath Falls,OR
LNK,Lincoln,NE
LNS,Lancaster,PA
LNY,Lanai City,HI
LPR,Lorain/Elyria,OH
LRD,Laredo,TX
LRU,Las Cruces,NM
LSE,La Crosse,WI
LUK,Cincinnati,OH
LWB,Lewisburg,WV
LWS,Lewiston,ID
LYH,Lynchburg,VA
MAF,Midland,TX
MAZ,Mayaguez,PR
MBA,Manokotak,AK
MBL,Manistee,MI
MBS,Saginaw,MI
MCC,Sacramento,CA
MCE,Merced,CA
MCG,McGrath,AK
MCI,Kansas City,MO
MCK,Mc Cook,NE
MCN,Macon,GA
MCO,Orlando,FL
MCW,Mason City,IA
MDH,Carbondale / Murphysboro,IL
MDM,Marshall,AK
MDT,Harrisburg,PA
MDW,Chicago,IL
MDY,Sand Island,MQ
MEI,Meridian,MS
MEM,Memphis,TN
MFD,Mansfield,OH
MFE,Mcallen,TX
MFR,Medford,OR
MGM,Montgomery,AL
MGW,Morgantown,WV
MHE,Mitchell,SD
MHK,Manhattan,KS
MHT,Manchester,NH
MIA,Miami,FL
MIE,Muncie,IN
MIV,Millville,NJ
MJX,Toms River,NJ
MKC,Kansas City,MO
MKE,Milwaukee,WI
MKG,Muskegon,MI
MKK,Kaunakakai,HI
MKL,Jackson,TN
MKT,Mankato,MN
MLB,Melbourne,FL
MLI,Moline,IL
MLL,Marshall,AK
MLU,Monroe,LA
MMH,Mammoth Lakes,CA
MMU,Morristown,NJ
MMV,Mc Minnville,OR
MNM,Menominee,MI
MOB,Mobile,AL
MOD,Modesto,CA
MOT,Minot,ND
MOU,Mountain Village,AK
MPV,Barre/Montpelier,VT
MQI,Manteo,NC
MQJ,Indianapolis,IN
MQY,Smyrna,TN
MRI,Anchorage,AK
MRY,Monterey,CA
MSL,Muscle Shoals,AL
MSN,Madison,WI
MSO,Missoula,MT
MSP,Minneapolis,MN
MSS,Massena,NY
MSV,Monticello,NY
MSY,New Orleans,LA
MTH,Marathon,FL
MTJ,Montrose,CO
MTM,Metlakatla,AK
MTO,Mattoon/Charleston,IL
MUE,Kamuela,HI
MVL,Morrisville,VT
MVN,Mount Vernon,IL
MVY,Vineyard Haven,MA
MWA,Marion,IL
MWH,Moses Lake,WA
MYR,Myrtle Beach,SC
MZJ,Marana,AZ
N93,Golovin,AK
NEW,New Orleans,LA
NQA,Millington,TN
NUL,Nulato,AK
OAJ,Jacksonville,NC
OAK,Oakland,CA
OCF,Ocala,FL
OFK,Norfolk,NE
OGD,Ogden,UT
OGG,Kahului,HI
OGS,Ogdensburg,NY
OKC,Oklahoma City,OK
OLM,Olympia,WA
OMA,Omaha,NE
OME,Nome,AK
ONP,Newport,OR
ONT,Ontario,CA
OOK,Toksook Bay,AK
OQU,North Kingstown,RI
ORD,Chicago,IL
ORF,Norfolk,VA
ORH,Worcester,MA
ORI,Port Lions,AK
ORS,Eastsound,WA
ORV,Noorvik,AK
OSH,Oshkosh,WI
OSU,Columbus,OH
OTG,Worthington,MN
OTH,North Bend,OR
OTM,Ottumwa,IA
OTZ,Kotzebue,AK
OWB,Owensboro,KY
OXC,Oxford,CT
OXR,Oxnard,CA
PAE,Everett,WA
PAH,Paducah,KY
PBI,West Palm Beach,FL
PCW,Port Clinton,OH
PDT,Pendleton,OR
PDX,Portland,OR
PFN,Panama City,FL
PGA,Page,AZ
PGD,Punta Gorda,FL
PGM,Port Graham,AK
PGV,Greenville,NC
PHF,Newport News,VA
PHL,Philadelphia,PA
PHO,Point Hope,AK
PHX,Phoenix,AZ
PIA,Peoria,IL
PIB,Hattiesburg / Laurel,MS
PIE,Saint Petersburg,FL
PIH,Pocatello,ID
PIR,Pierre,SD
PIT,Pittsburgh,PA
PKB,Parkersburg,WV
PLB,Plattsburgh,NY
PLK,Point Lookout,MO
PLN,Pellston,MI
PMD,Palmdale,CA
PNC,Ponca City,OK
PNS,Pensacola,FL
POU,Poughkeepsie,NY
PPC,Prospect Creek,AK
PPG,Pago Pago,AS
PQI,Presque Isle,ME
PQL,Pascagoula,MS
PRB,Paso Robles,CA
PRC,Prescott,AZ
PSC,Pasco,WA
PSE,Ponce,PR
PSG,Petersburg,AK
PSM,Portsmouth,NH
PSP,Palm Springs,CA
PTH,Port Heiden,AK
PTK,Pontiac,MI
PUB,Pueblo,CO
PUW,"Pullman / Moscow, ID",WA
PVC,Provincetown,MA
PVD,Providence,RI
PVU,Provo,UT
PWM,Portland,ME
PWT,Bremerton,WA
RAP,Rapid City,SD
RDD,Redding,CA
RDG,Reading,PA
RDM,Redmond,OR
RDU,Rdu Airport,NC
RFD,Rockford,IL
RHI,Rhinelander,WI
RIC,Richmond,VA
RIW,Riverton,WY
RKD,Rockland,ME
RKS,Rock Springs,WY
RME,Rome,NY
RMG,Rome,GA
RNO,Reno,NV
ROA,Roanoke,VA
ROC,Rochester,NY
ROW,Roswell,NM
RSH,Russian Mission,AK
RST,Rochester,MN
RSW,Fort Myers,FL
RUT,Rutland,VT
RWI,Rocky Mount,NC
SAF,Santa Fe,NM
SAN,San Diego,CA
SAT,San Antonio,TX
SAV,Savannah,GA
SAW,Marquette,MI
SBA,Santa Barbara,CA
SBD,San Bernardino,CA
SBN,South Bend,IN
SBP,San Luis Obispo,CA
SBY,Salisbury,MD
SCC,Deadhorse,AK
SCK,Stockton,CA
SCM,Scammon Bay,AK
SDF,Louisville,KY
