Category: All categories

Week,youtube: (United States)
2015-05-03,98
2015-05-10,99
2015-05-17,100
2015-05-24,99
2015-05-31,95
2015-06-07,96
2015-06-14,93
2015-06-21,94
2015-06-28,96
2015-07-05,93
2015-07-12,92
2015-07-19,95
2015-07-26,95
2015-08-02,93
2015-08-09,93
2015-08-16,94
2015-08-23,95
2015-08-30,93
2015-09-06,93
2015-09-13,96
2015-09-20,94
2015-09-27,92
2015-10-04,93
2015-10-11,93
2015-10-18,96
2015-10-25,94
2015-11-01,95
2015-11-08,95
2015-11-15,96
2015-11-22,97
2015-11-29,92
2015-12-06,94
2015-12-13,93
2015-12-20,97
2015-12-27,83
2016-01-03,73
2016-01-10,74
2016-01-17,75
2016-01-24,76
2016-01-31,75
2016-02-07,76
2016-02-14,76
2016-02-21,76
2016-02-28,74
2016-03-06,73
2016-03-13,77
2016-03-20,77
2016-03-27,77
2016-04-03,74
2016-04-10,75
2016-04-17,78
2016-04-24,76
2016-05-01,76
2016-05-08,78
2016-05-15,79
2016-05-22,79
2016-05-29,76
2016-06-05,76
2016-06-12,73
2016-06-19,72
2016-06-26,72
2016-07-03,70
2016-07-10,72
2016-07-17,72
2016-07-24,72
2016-07-31,71
2016-08-07,71
2016-08-14,73
2016-08-21,75
2016-08-28,74
2016-09-04,70
2016-09-11,74
2016-09-18,72
2016-09-25,75
2016-10-02,74
2016-10-09,76
2016-10-16,77
2016-10-23,77
2016-10-30,74
2016-11-06,74
2016-11-13,75
2016-11-20,76
2016-11-27,72
2016-12-04,75
2016-12-11,75
2016-12-18,77
2016-12-25,76
2017-01-01,73
2017-01-08,73
2017-01-15,75
2017-01-22,77
2017-01-29,72
2017-02-05,72
2017-02-12,75
2017-02-19,73
2017-02-26,74
2017-03-05,75
2017-03-12,74
2017-03-19,74
2017-03-26,76
2017-04-02,74
2017-04-09,74
2017-04-16,73
2017-04-23,73
2017-04-30,74
2017-05-07,74
2017-05-14,73
2017-05-21,73
2017-05-28,70
2017-06-04,69
2017-06-11,69
2017-06-18,66
2017-06-25,68
2017-07-02,66
2017-07-09,66
2017-07-16,69
2017-07-23,69
2017-07-30,70
2017-08-06,71
2017-08-13,71
2017-08-20,72
2017-08-27,72
2017-09-03,69
2017-09-10,71
2017-09-17,72
2017-09-24,72
2017-10-01,73
2017-10-08,72
2017-10-15,71
2017-10-22,72
2017-10-29,71
2017-11-05,69
2017-11-12,72
2017-11-19,71
2017-11-26,68
2017-12-03,71
2017-12-10,71
2017-12-17,73
2017-12-24,74
2017-12-31,69
2018-01-07,70
2018-01-14,68
2018-01-21,68
2018-01-28,70
2018-02-04,69
2018-02-11,68
2018-02-18,68
2018-02-25,67
2018-03-04,65
2018-03-11,67
2018-03-18,65
2018-03-25,67
2018-04-01,75
2018-04-08,66
2018-04-15,67
2018-04-22,68
2018-04-29,66
2018-05-06,67
2018-05-13,68
2018-05-20,67
2018-05-27,65
2018-06-03,64
2018-06-10,61
2018-06-17,62
2018-06-24,60
2018-07-01,57
2018-07-08,59
2018-07-15,60
2018-07-22,63
2018-07-29,62
2018-08-05,58
2018-08-12,60
2018-08-19,62
2018-08-26,66
2018-09-02,62
2018-09-09,65
2018-09-16,64
2018-09-23,65
2018-09-30,63
2018-10-07,62
2018-10-14,72
2018-10-21,61
2018-10-28,61
2018-11-04,61
2018-11-11,63
2018-11-18,61
2018-11-25,61
2018-12-02,65
2018-12-09,66
2018-12-16,67
2018-12-23,64
2018-12-30,61
2019-01-06,60
2019-01-13,61
2019-01-20,61
2019-01-27,61
2019-02-03,59
2019-02-10,60
2019-02-17,59
2019-02-24,65
2019-03-03,59
2019-03-10,59
2019-03-17,60
2019-03-24,59
2019-03-31,59
2019-04-07,61
2019-04-14,60
2019-04-21,61
2019-04-28,59
2019-05-05,61
2019-05-12,64
2019-05-19,64
2019-05-26,63
2019-06-02,62
2019-06-09,60
2019-06-16,59
2019-06-23,59
2019-06-30,55
2019-07-07,55
2019-07-14,57
2019-07-21,55
2019-07-28,55
2019-08-04,56
2019-08-11,59
2019-08-18,62
2019-08-25,63
2019-09-01,59
2019-09-08,61
2019-09-15,60
2019-09-22,61
2019-09-29,59
2019-10-06,60
2019-10-13,58
2019-10-20,58
2019-10-27,59
2019-11-03,60
2019-11-10,59
2019-11-17,61
2019-11-24,56
2019-12-01,58
2019-12-08,59
2019-12-15,60
2019-12-22,58
2019-12-29,56
2020-01-05,56
2020-01-12,56
2020-01-19,57
2020-01-26,57
2020-02-02,57
2020-02-09,57
2020-02-16,56
2020-02-23,58
2020-03-01,56
2020-03-08,56
2020-03-15,59
2020-03-22,65
2020-03-29,68
2020-04-05,67
2020-04-12,65
2020-04-19,66
2020-04-26,66
